player_id,name,season,collected_at,strokes_gained_driving_sg_tee_to_green,strokes_gained_driving_sg_tee_to_green_rank,strokes_gained_driving_sg_tee_to_green_sg:ott,strokes_gained_driving_sg_off_the_tee,strokes_gained_driving_sg_off_the_tee_rank,strokes_gained_driving_sg_off_the_tee_total_sg:ott,strokes_gained_putting_sg_putting,strokes_gained_putting_sg_putting_rank,strokes_gained_putting_sg_putting_total_sg:putting
30163,Henrik Norlander,2023,2025-03-22 10:03:14.378,-0.145,124.0,-0.182,-0.182,141.0,-12.368,-0.279,155.0,-18.982
51070,Vincent Norrman,2023,2025-03-22 10:07:07.305,0.523,42.0,0.469,0.469,23.0,30.491,-0.283,157.0,-18.384
51997,Andrew Novak,2023,2025-03-22 10:10:18.087,0.198,87.0,-0.01,-0.01,101.0,-0.702,0.116,72.0,7.868
24140,Sean O'Hair,2023,2025-03-22 10:14:15.491,-0.266,147.0,-0.031,-0.031,109.0,-0.957,-0.139,130.0,-4.313
33968,Thorbjørn Olesen,2023,2025-03-22 10:17:27.928,-0.175,,-0.707,-0.707,,-4.244,0.121,,0.727
55623,Kaito Onishi,2023,2025-03-22 10:19:22.401,-1.154,,-0.679,-0.679,,-5.436,-0.002,,-0.019
59160,John Pak,2023,2025-03-22 10:22:17.311,0.956,,-0.087,-0.087,,-0.174,-0.625,,-1.249
23320,Ryan Palmer,2023,2025-03-22 10:25:45.608,0.274,70.0,0.21,0.21,56.0,13.623,-0.343,168.0,-22.283
29908,C.T. Pan,2023,2025-03-22 10:31:10.386,0.105,96.0,-0.196,-0.196,145.0,-7.66,-0.09,110.0,-3.497
50582,Jeremy Paul,2023,2025-03-22 10:33:05.520,,,,,,,,,
48153,Matthieu Pavon,2023,2025-03-22 10:36:08.274,-1.98,,-0.114,-0.114,,-0.456,0.099,,0.394
40250,Taylor Pendrith,2023,2025-03-22 10:38:20.406,0.221,82.0,0.32,0.32,40.0,25.578,-0.026,102.0,-2.085
47679,Victor Perez,2023,2025-03-22 10:40:20.667,-0.195,,-0.202,-0.202,,-2.828,0.711,,9.959
57900,Chandler Phillips,2023,2025-03-22 10:44:55.059,-1.409,,-0.108,-0.108,,-0.432,-0.084,,-0.335
25818,Scott Piercy,2023,2025-03-22 10:46:43.661,-0.135,121.0,-0.098,-0.098,120.0,-6.889,-0.009,100.0,-0.632
49771,J.T. Poston,2023,2025-03-22 10:48:27.726,0.252,79.0,-0.081,-0.081,118.0,-6.984,0.395,29.0,33.958
63343,Aldrich Potgieter,2023,2025-03-22 10:50:12.622,-1.426,,0.329,0.329,,2.632,-0.683,,-5.466
28252,Seamus Power,2023,2025-03-22 10:52:34.114,-0.248,141.0,-0.034,-0.034,110.0,-2.199,0.202,63.0,13.135
34256,Andrew Putnam,2023,2025-03-22 10:55:36.790,0.168,90.0,-0.411,-0.411,174.0,-36.978,0.513,12.0,46.204
46414,Aaron Rai,2023,2025-03-22 10:57:23.315,0.877,24.0,0.343,0.343,38.0,29.826,-0.262,152.0,-22.794
47983,Chad Ramey,2023,2025-03-22 10:59:11.081,-0.332,155.0,-0.015,-0.015,104.0,-1.376,0.316,44.0,28.162
26476,Chez Reavie,2023,2025-03-22 11:01:14.701,-0.075,118.0,-0.229,-0.229,153.0,-19.47,-0.124,122.0,-10.556
47995,Davis Riley,2023,2025-03-22 11:04:45.731,0.021,109.0,-0.017,-0.017,105.0,-1.294,-0.133,125.0,-10.145
36699,Patrick Rodgers,2023,2025-03-22 11:06:35.393,0.331,58.0,0.199,0.199,61.0,16.743,0.161,67.0,13.559
22405,Justin Rose,2023,2025-03-22 11:08:24.554,0.789,30.0,-0.044,-0.044,115.0,-2.371,0.404,26.0,21.837
39335,Kevin Roy,2023,2025-03-22 11:11:48.745,0.312,62.0,-0.132,-0.132,130.0,-7.02,-0.581,187.0,-30.776
46646,Antoine Rozner,2023,2025-03-22 11:13:28.538,0.189,,0.663,0.663,,2.651,-0.645,,-2.58
37275,Sam Ryder,2023,2025-03-22 11:15:09.309,0.064,103.0,-0.385,-0.385,172.0,-33.882,0.493,14.0,43.354
56781,Isaiah Salinda,2023,2025-03-22 11:16:53.834,1.656,,0.2,0.2,,0.798,0.654,,2.615
48081,Xander Schauffele,2023,2025-03-22 11:18:52.727,1.201,9.0,0.265,0.265,47.0,16.403,0.667,5.0,41.383
46046,Scottie Scheffler,2023,2025-03-22 11:20:34.769,2.615,1.0,1.021,1.021,1.0,75.522,-0.301,162.0,-22.286
47347,Adam Schenk,2023,2025-03-22 11:22:20.297,0.351,56.0,0.056,0.056,85.0,5.495,0.344,36.0,33.673
